date,unemployment benefits,isPartial
2017-03-12,15,False
2017-03-19,14,False
2017-03-26,13,False
2017-04-02,14,False
2017-04-09,13,False
2017-04-16,14,False
2017-04-23,14,False
2017-04-30,12,False
2017-05-07,12,False
2017-05-14,12,False
2017-05-21,13,False
2017-05-28,13,False
2017-06-04,13,False
2017-06-11,13,False
2017-06-18,13,False
2017-06-25,15,False
2017-07-02,15,False
2017-07-09,15,False
2017-07-16,17,False
2017-07-23,15,False
2017-07-30,16,False
2017-08-06,15,False
2017-08-13,13,False
2017-08-20,13,False
2017-08-27,17,False
2017-09-03,17,False
2017-09-10,14,False
2017-09-17,13,False
2017-09-24,13,False
2017-10-01,12,False
2017-10-08,13,False
2017-10-15,14,False
2017-10-22,15,False
2017-10-29,13,False
2017-11-05,14,False
2017-11-12,13,False
2017-11-19,12,False
2017-11-26,14,False
2017-12-03,13,False
2017-12-10,14,False
2017-12-17,13,False
2017-12-24,14,False
2017-12-31,15,False
2018-01-07,17,False
2018-01-14,16,False
2018-01-21,17,False
2018-01-28,17,False
2018-02-04,15,False
2018-02-11,14,False
2018-02-18,13,False
2018-02-25,13,False
2018-03-04,11,False
2018-03-11,11,False
2018-03-18,11,False
2018-03-25,12,False
2018-04-01,12,False
2018-04-08,13,False
2018-04-15,12,False
2018-04-22,12,False
2018-04-29,12,False
2018-05-06,11,False
2018-05-13,11,False
2018-05-20,11,False
2018-05-27,12,False
2018-06-03,12,False
2018-06-10,12,False
2018-06-17,11,False
2018-06-24,13,False
2018-07-01,13,False
2018-07-08,13,False
2018-07-15,14,False
2018-07-22,13,False
2018-07-29,13,False
2018-08-05,12,False
2018-08-12,11,False
2018-08-19,11,False
2018-08-26,11,False
2018-09-02,11,False
2018-09-09,11,False
2018-09-16,11,False
2018-09-23,10,False
2018-09-30,12,False
2018-10-07,14,False
2018-10-14,13,False
2018-10-21,12,False
2018-10-28,13,False
2018-11-04,12,False
2018-11-11,12,False
2018-11-18,11,False
2018-11-25,12,False
2018-12-02,13,False
2018-12-09,13,False
2018-12-16,12,False
2018-12-23,12,False
2018-12-30,16,False
